event_id,customer_id,event_time,event_type,session_id,duration_ms
E000001,C0181,2025-06-30T22:09:40,add_to_cart,S00649,4459
E000002,C0425,2025-06-15T20:19:25,page_view,S00832,879
E000003,C0161,2025-06-25T03:16:17,login,S00415,5288
E000004,C0136,2025-06-24T13:34:45,login,S00741,2922
E000005,C0387,2025-06-08T17:30:06,page_view,S00229,7908
E000006,C0098,2025-06-29T05:54:02,error,S01148,2593
E000007,C0152,2025-06-28T04:21:19,logout,S00156,4459
E000008,C0102,2025-06-05T12:46:35,error,S00829,791
E000009,C0437,2025-06-13T18:50:54,logout,S00725,1244
E000010,C0204,2025-06-07T10:59:37,error,S00602,7596
E000011,C0315,2025-06-28T16:13:21,add_to_cart,S00907,723
E000012,C0423,2025-06-02T23:30:13,error,S00561,2064
E000013,C0014,2025-06-25T00:07:33,add_to_cart,S00503,1888
E000014,C0449,2025-06-11T23:06:50,add_to_cart,S00298,3657
E000015,C0007,2025-06-15T09:47:20,logout,S00990,2046
E000016,C0430,2025-06-22T07:24:49,logout,S00394,3445
E000017,C0212,2025-06-10T00:46:23,login,S01179,6996
E000018,C0455,2025-06-19T19:00:30,checkout,S00540,6167
E000019,C0221,2025-06-18T23:20:50,add_to_cart,S00656,3036
E000020,C0277,2025-06-18T08:01:17,add_to_cart,S00659,681
E000021,C0441,2025-06-12T23:39:14,add_to_cart,S00198,6567
E000022,C0470,2025-06-25T15:13:35,checkout,S00215,5852
E000023,C0414,2025-06-30T07:49:03,error,S01135,1916
E000024,C0421,2025-06-11T20:56:12,page_view,S00943,3861
E000025,C0317,2025-06-22T06:09:23,page_view,S00351,4122
E000026,C0012,2025-06-28T04:23:57,page_view,S00712,3723
E000027,C0245,2025-06-08T04:17:34,page_view,S00566,572
E000028,C0292,2025-06-13T05:36:55,page_view,S01006,7810
E000029,C0221,2025-06-07T11:22:18,login,S00635,3296
E000030,C0276,2025-06-15T18:57:21,logout,S00834,2757
E000031,C0074,2025-06-27T04:41:39,page_view,S00109,5631
E000032,C0365,2025-06-18T09:30:26,page_view,S00131,4862
E000033,C0272,2025-06-21T02:00:31,add_to_cart,S00510,6033
E000034,C0308,2025-06-09T16:56:49,error,S01014,6896
E000035,C0374,2025-06-06T19:13:39,login,S01176,2768
E000036,C0359,2025-06-19T19:24:47,error,S00972,6643
E000037,C0071,2025-06-17T15:58:05,checkout,S00364,1549
E000038,C0363,2025-06-21T21:24:24,page_view,S00378,7251
